City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
zhoucheng,35.91,116.31,83.08,58,100,10.85,CN,1594955824
coari,-4.08,-63.14,75.36,76,100,0.58,BR,1594955824
pingdingshan,33.74,113.3,72.57,92,100,6.42,CN,1594955824
kamwenge,0.19,30.45,64.53,76,100,1.36,UG,1594955824
sisimiut,66.94,-53.67,46.63,84,90,1.95,GL,1594955824
yamada,39.47,141.95,71.01,74,100,6.35,JP,1594955824
dutlwe,-23.98,23.9,37.15,70,0,7.38,BW,1594955824
motril,36.75,-3.52,72.0,78,0,3.11,ES,1594955824
avarua,-21.21,-159.78,73.4,64,97,9.17,CK,1594955081
moose factory,51.26,-80.61,71.6,56,75,11.41,CA,1594955316
samfya,-11.36,29.56,49.73,75,2,15.05,ZM,1594955824
okato,-39.2,173.88,54.0,81,100,11.01,NZ,1594955824
axim,4.87,-2.24,73.69,91,27,7.45,GH,1594955641
kefamenanu,-9.45,124.48,78.98,64,46,6.62,ID,1594955825
ambilobe,-13.2,49.05,65.3,85,47,3.06,MG,1594955324
maralal,1.1,36.7,56.37,93,100,2.42,KE,1594955825
xuddur,4.12,43.89,69.3,75,100,19.82,SO,1594955825
kasempa,-13.46,25.83,44.91,78,22,9.33,ZM,1594955825
lavrentiya,65.58,-171.0,52.59,75,100,3.74,RU,1594955320
iquitos,-3.75,-73.25,72.43,92,56,2.17,PE,1594955825
mersing,2.43,103.84,89.6,75,20,5.82,MY,1594955825
araouane,18.9,-3.53,91.63,37,74,11.52,ML,1594955322
alta floresta,-9.88,-56.09,72.77,54,19,1.01,BR,1594955697
kutum,14.2,24.67,74.95,61,93,10.71,SD,1594955825
asau,46.43,26.4,54.0,95,26,4.16,RO,1594955332
goundam,16.41,-3.67,90.39,44,10,5.03,ML,1594955825
marystown,47.17,-55.15,49.15,74,32,10.89,CA,1594955589
tautira,-17.73,-149.15,80.6,74,75,9.17,PF,1594955321
acajutla,13.59,-89.83,78.01,81,47,1.99,SV,1594955575
maku,39.29,44.45,69.31,56,0,1.21,IR,1594955825
wabana,47.63,-52.95,48.99,100,90,18.34,CA,1594955723
kaspiysk,42.88,47.64,77.0,65,0,4.47,RU,1594955825
raga,8.46,25.68,68.41,95,98,3.91,SS,1594955825
condega,13.37,-86.4,69.84,86,0,4.34,NI,1594955825
setermoen,68.86,18.35,51.8,100,99,13.87,NO,1594955825
karaton,-6.34,106.1,89.6,59,20,8.05,ID,1594955825
sabang,5.89,95.32,83.28,77,17,6.04,ID,1594955657
fort nelson,58.81,-122.7,59.0,93,90,4.7,CA,1594955326
yakeshi,49.28,120.73,77.9,63,100,12.86,CN,1594955826
porto novo,6.5,2.6,75.2,94,20,6.93,BJ,1594955661
dolores,-36.31,-57.68,43.25,78,0,5.01,AR,1594955317
litovko,49.24,135.17,83.08,75,83,7.02,RU,1594955322
floro,61.6,5.03,55.4,93,100,14.99,NO,1594955826
jinchang,38.5,102.17,79.7,28,30,5.06,CN,1594955826
taguatinga,-12.39,-46.57,72.84,39,8,6.08,BR,1594955826
hobyo,5.35,48.53,77.36,67,100,22.21,SO,1594955345
turia,46.03,26.05,51.01,88,8,1.3,RO,1594955826
mackenzie,55.3,-123.17,62.6,72,90,2.24,CA,1594955826
cirie,45.24,7.6,70.0,82,5,4.7,IT,1594955826
karpathos,35.51,27.21,73.4,73,0,27.51,GR,1594955826
ratangarh,28.08,74.6,94.86,44,43,9.37,IN,1594955826
sungaipenuh,-2.08,101.38,70.72,89,77,0.56,ID,1594955672
southbridge,42.08,-72.03,62.01,85,70,3.71,US,1594955826
pital,2.27,-75.8,64.87,77,30,5.19,CO,1594955826
kailua,21.4,-157.74,82.4,69,90,9.17,US,1594955651
khudumelapye,-23.88,24.75,37.11,70,0,5.99,BW,1594955826
the valley,18.22,-63.06,82.4,74,20,9.17,AI,1594955683
alyangula,-13.85,136.42,82.4,37,4,8.05,AU,1594955827
avera,33.19,-82.53,82.4,83,1,3.36,US,1594955348
hamilton,39.18,-84.53,75.99,78,1,5.82,US,1594955348
adrar,20.5,-10.07,86.27,29,57,7.29,MR,1594955331
alferrarede,39.48,-8.17,80.01,44,22,2.44,PT,1594955827
valladolid,41.58,-4.67,57.99,71,33,12.75,ES,1594955827
gujrat,32.57,74.08,89.6,70,0,5.88,PK,1594955827
soyo,-6.13,12.37,72.68,87,96,5.35,AO,1594955323
scarborough,54.28,-0.4,57.99,91,0,1.99,GB,1594955719
tigil,57.8,158.67,61.63,72,100,10.11,RU,1594955827
laukaa,58.74,29.85,54.37,76,78,5.82,RU,1594955827
severomorsk,69.07,33.42,57.2,76,92,2.24,RU,1594955827
pyatnitskoye,50.42,37.83,59.27,84,90,3.96,RU,1594955827
gold coast,-28.0,153.43,70.0,49,0,12.75,AU,1594955827
maceio,-9.67,-35.74,68.0,88,55,3.36,BR,1594955598
kuopio,62.89,27.68,57.2,87,0,2.24,FI,1594955827
kermanshah,34.31,47.06,75.2,36,0,4.7,IR,1594955827
goderich,43.75,-81.72,73.0,75,7,6.55,CA,1594955827
paita,-5.09,-81.11,62.49,83,6,9.44,PE,1594955828
abu zabad,12.35,29.25,76.24,71,60,13.56,SD,1594955331
gat,31.61,34.76,73.99,69,1,3.4,IL,1594955672
surt,31.21,16.59,77.43,71,0,13.31,LY,1594955828
mingaora,34.78,72.36,76.41,64,100,6.13,PK,1594955828
atar,20.52,-13.05,83.59,38,1,5.86,MR,1594955662
martyush,56.4,61.88,72.57,80,80,6.78,RU,1594955828
okha,53.57,142.95,61.16,94,100,4.29,RU,1594955344
borger,52.92,6.79,59.0,88,97,1.01,NL,1594955828
half moon bay,37.46,-122.43,70.0,87,90,4.03,US,1594955828
villamontes,-21.25,-63.5,68.32,57,100,1.72,BO,1594955828
miraflores,19.22,-98.81,68.0,56,40,9.17,MX,1594955828
dunedin,-45.87,170.5,46.99,64,25,1.99,NZ,1594955275
ayan,56.45,138.17,55.42,92,99,8.05,RU,1594955639
sao joaquim,-28.29,-49.93,46.47,100,100,4.18,BR,1594955828
kokstad,-30.55,29.42,42.66,41,0,3.74,ZA,1594955828
vanimo,-2.67,141.3,82.9,78,42,3.04,PG,1594955698
diourbel,14.66,-16.39,80.58,75,94,7.07,SN,1594955828
phalaborwa,-23.94,31.14,42.8,87,0,4.7,ZA,1594955829
barcelos,41.54,-8.62,82.0,61,44,6.93,PT,1594955829
batal,16.69,121.6,90.25,60,77,1.97,PH,1594955829
jackson,42.42,-122.83,87.8,22,1,12.75,US,1594955647
miri,4.41,114.01,87.8,74,40,2.24,MY,1594955829
toora-khem,52.47,96.11,52.61,80,100,1.5,RU,1594955829
udachnyy,66.42,112.4,66.2,52,40,11.18,RU,1594955338
mitu,1.2,-70.17,70.86,96,21,0.78,CO,1594955346
haicheng,40.85,122.75,91.11,41,100,12.01,CN,1594955829
aksu,41.12,80.26,85.64,26,81,3.44,CN,1594955682
loukhi,66.08,33.04,51.64,62,0,1.23,RU,1594955829
kostino,58.91,53.27,65.01,95,97,2.13,RU,1594955348
mango,27.98,-82.31,79.0,94,1,8.37,US,1594955829
ugoofaaru,5.67,73.0,84.13,74,99,10.07,MV,1594955629
moranbah,-22.0,148.05,65.44,27,0,7.16,AU,1594955829
aykhal,66.0,111.5,66.2,52,40,11.18,RU,1594955340
kurovskoye,55.58,38.91,59.0,87,75,6.71,RU,1594955829
beian,63.66,9.57,57.2,87,75,4.7,NO,1594955830
losone,46.17,8.76,66.99,68,40,2.24,CH,1594955830
raudeberg,61.99,5.14,61.0,93,100,14.99,NO,1594955696
ardakan,32.31,54.02,78.8,39,40,4.7,IR,1594955830
kuzino,57.02,59.44,77.54,68,0,2.59,RU,1594955830
berlevag,70.86,29.09,53.6,87,88,1.12,NO,1594955345
matay,28.42,30.78,67.46,78,0,8.99,EG,1594955830
iskateley,67.68,53.15,52.2,73,43,9.19,RU,1594955830
uglovskoye,51.36,80.19,80.29,39,0,24.09,RU,1594955830
fukue,32.69,128.84,78.8,78,40,8.05,JP,1594955830
unity,52.45,-109.17,68.0,81,67,13.58,CA,1594955830
ahuimanu,21.44,-157.84,87.8,66,40,12.75,US,1594955319
hirson,49.92,4.08,57.2,93,24,3.36,FR,1594955830
aljezur,37.32,-8.8,78.01,58,0,4.94,PT,1594955830
chicama,-7.84,-79.15,61.83,80,9,4.68,PE,1594955663
moa,20.66,-74.94,80.47,81,28,10.07,CU,1594955831
xiangfan,32.04,112.14,75.38,90,100,3.06,CN,1594955831
birin,26.89,88.07,71.28,91,71,2.77,NP,1594955831
flinders,-34.58,150.86,62.01,61,27,8.99,AU,1594955346
mazatlan,23.22,-106.42,87.01,79,90,8.05,MX,1594955734
dehloran,32.69,47.27,94.69,22,3,8.9,IR,1594955831
paamiut,61.99,-49.67,45.64,74,1,12.71,GL,1594955324
minna,9.61,6.56,70.25,97,90,2.21,NG,1594955831
kununurra,-15.77,128.73,80.6,15,0,10.29,AU,1594955336
toropets,56.5,31.64,53.06,91,71,4.0,RU,1594955831
